avg_words_per_sentence,avg_sentence_len,avg_word_len,avg_syllable_per_word
4.0,29.0,7.25,2.75
6.0,43.0,7.166666666666667,2.8333333333333335
5.0,33.0,6.6,2.7
6.0,46.0,7.666666666666667,3.1666666666666665
9.0,59.0,6.555555555555555,2.7777777777777777
7.0,45.0,6.428571428571429,2.5714285714285716
8.0,48.0,6.0,2.5
4.0,25.0,6.25,2.25
6.0,36.0,6.0,2.1666666666666665
13.0,64.0,4.923076923076923,1.9230769230769231
6.0,40.0,6.666666666666667,2.3333333333333335
6.0,50.0,8.333333333333334,3.1666666666666665
5.0,36.0,7.2,2.6
5.0,32.0,6.4,2.2
6.0,49.0,8.166666666666666,3.5
13.0,77.0,5.923076923076923,2.5384615384615383
4.0,25.0,6.25,2.75
6.0,34.0,5.666666666666667,2.3333333333333335
3.0,25.0,8.333333333333334,3.0
6.0,28.0,4.666666666666667,1.8333333333333333
5.0,35.0,7.0,2.6
6.0,40.0,6.666666666666667,2.5
3.0,17.0,5.666666666666667,1.6666666666666667
13.0,69.0,5.3076923076923075,2.230769230769231
5.0,30.0,6.0,2.6
6.0,43.0,7.166666666666667,2.5
